Nama Stasiun;Alamat;Latitude;Longitude;Provinsi;Kota ;TYPE CHARGE;KW;;;;;;;;;;;
SPKLU PLN ULP PEMANGKAT;Jl. Moh. Hambal, Pemangkat Kota, Kec. Pemangkat, Kabupaten Sambas, Kalimantan Barat 79453;1,175662;108,974173;Kalimantan Barat;Kab. Sambas;MEDIUM CHARGING;7,4;;;;;;;;;;;
SPKLU Hotel Mercure Pontianak;Jl. Jenderal Ahmad Yani No.91, Bansir Laut, Kec. Pontianak Tenggara, Kota Pontianak, Kalimantan Barat 78124;-0,0525109;109,3468678;Kalimantan Barat;Kota Pontianak;MEDIUM CHARGING;7,4;;;;;;;;;;;
SPKLU PLN UP3 KETAPANG;Jl. M. Tohir, Tengah, Delta Pawan, Kabupaten Ketapang,  Kalimantan Barat 78811;-1,842952;109,975127;Kalimantan Barat;Kab. Ketapang;MEDIUM CHARGING;7,4;;;;;;;;;;;
SPKLU PLN UP3 SANGGAU;Jl Lintas Kalimantan Bunut Sanggau Kapuas;0,134662;110,560513;Kalimantan Barat;Kab. Sanggau;ULTRA FAST CHARGING;60;;;;;;;;;;;
SPKLU BORNEO BUSSINESS ICON;Jl. Trans Kalimantan, Sui Ambawang Kuala, Kec. Sungai Ambawang, Kab. Kubu Raya 78241;-0,046855;109,40527;Kalimantan Barat;Kab. Kubu Raya;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU ULP SAMBAS;Jl. Gusti Hamzah No.82, Durian, Kec. Sambas, Kabupaten Sambas, Kalimantan Barat 79462;1,36275;109,30011 ;Kalimantan Barat;Kab. Sambas;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU KJ SAJINGAN;Jl. Merdeka, Kaliau, Kec. Sajingan Besar, Kabupaten Sambas, Kalimantan Barat 79467;1,61998;109,64303 ;Kalimantan Barat;Kab. Sambas;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU KJ SELUAS;Jagoi, Jagoi Babang, Bengkayang Regency, West Kalimantan 79286;1,28275;109,85327 ;Kalimantan Barat;Kab. Bengkayang;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU HOTEL MAHKOTA;Jl. P. Diponegoro No.1, Pasiran, Kec. Singkawang Bar., Kota Singkawang, Kalimantan Barat 79122;0,89519;108,97747 ;Kalimantan Barat;Kota Singkawang;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU DE BROTHER;Jl. Tani, Pasiran, Kec. Singkawang Bar., Kota Singkawang, Kalimantan Barat 79123;0,89552;108,96469 ;Kalimantan Barat;Kota Singkawang;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU ULP NGABANG;Hilir Kantor, Ngabang, Landak Regency, West Kalimantan 79357;0,384531;109,95478 ;Kalimantan Barat;Kab. Landak;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU KJ SENAKIN;Jl. Lintas Kalimantan Poros Tengah, Senakin, Kec. Sengah Temila, Kabupaten Landak, Kalimantan Barat 79356;0,363064;109,56796 ;Kalimantan Barat;Kab. Landak;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU MITRA ANDA;Sungai Jawi Dalam, Pontianak Barat, Pontianak, West Kalimantan 78244;-0,01861501;109.32700325085149;Kalimantan Barat;Kota Pontianak;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU FKIP KAMPUS UNTAN;Bansir Laut, Pontianak Tenggara, Pontianak, West Kalimantan 78115;-0,059308445;109.34495550642144;Kalimantan Barat;Kota Pontianak;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU GOLDEN TULIP;Jl. Teuku Umar No.39, Darat Sekip, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78117;-0,031298379;109.33490998641442;Kalimantan Barat;Kota Pontianak;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU KJ KUALA DUA;Jl. Abdurahman Wahid, Limbung, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat 78391;-0,15533802;109.42471068439013;Kalimantan Barat;Kab. Kubu Raya;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU PUTUSSIBAU;Putussibau Kota, Kec. Putussibau Utara, Kabupaten Kapuas Hulu, Kalimantan Barat 78752;0.8851598112271384;112.92641371295039;Kalimantan Barat;Kab. Kapuas Hulu;FAST CHARGING;30;;;;;;;;;;;
SPKLU ULP SANGGAU KOTA;Jl. Dr. Setia Budi No.1, Beringin, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78516;0.12086482692800832;110.59286891611944;Kalimantan Barat;Kab. Sanggau;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU TEPUAI;Jl. Lintas Selatan, Nanga Tepuai, Kec. Hulu Gurung, Kabupaten Kapuas Hulu, Kalimantan Barat 78764;0.3696524978706465;112.30343043884746;Kalimantan Barat;Kab. Kapuas Hulu;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU PLN ULP SUKADANA;Jl. Tanah Merah, Sutera, Kec. Sukadana, Kabupaten Kayong Utara, Kalimantan Barat 78852;-1,2442457;109,94852 ;Kalimantan Barat;Kab. Kayong Utara;FAST CHARGING;30;;;;;;;;;;;
SPKLU PLN KJ SIDUK;Simpang Tiga, Kec. Sukadana, Kabupaten Kayong Utara, Kalimantan Barat 78852;-1,361432;110,06798 ;Kalimantan Barat;Kab. Kayong Utara;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU PLN KJ NANGA TAYAP;Nanga Tayap, Kec. Nanga Tayap, Kabupaten Ketapang, Kalimantan Barat 78873;-1,5161479;110,56125 ;Kalimantan Barat;Kab. Ketapang;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU ULP SEKURA;Jl. Haji Derahim No.26, Sekura, Kec. Tlk. Keramat, Kabupaten Sambas, Kalimantan Barat 79465;1,469;109,22206 ;Kalimantan Barat;Kab. Sambas;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU SIANTAN EXTEND;Jl. Khatulistiwa, Siantan Hilir, Kec. Pontianak Utara, Kota Pontianak, Kalimantan Barat 78243;0,337242;108,96363 ;Kalimantan Barat;Kota Pontianak;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU HOTEL BORNEO;Jl. Merdeka Barat No. 428 Mariana, Pontianak Kota, Kota Pontianak 78244;-0.0235361;109,32925 ;Kalimantan Barat;Kota Pontianak;FAST CHARGING;30;;;;;;;;;;;
SPKLU ULP KETAPANG KOTA;Jl. M. Tohir, Tengah, Delta Pawan, Kabupaten Ketapang,  Kalimantan Barat 78811;-1,8251608;109,96783 ;Kalimantan Barat;Kab. Ketapang;MEDIUM CHARGING;22;;;;;;;;;;;
SPKLU ULP SINTANG;Tanjung Puri, Sintang, Sintang Regency, West Kalimantan 78613;0.07609577226655045;111.49751653529412;Kalimantan Barat;Kab. Sintang;FAST CHARGING;50;;;;;;;;;;;
